0,0
1961/5/17,460
1961/5/18,457
1961/5/19,452
1961/5/22,459
1961/5/23,462
1961/5/24,459
1961/5/25,463
1961/5/26,479
1961/5/29,493
1961/5/31,490
1961/6/1,492
1961/6/2,498
1961/6/5,499
1961/6/6,497
1961/6/7,496
1961/6/8,490
1961/6/9,489
1961/6/12,478
1961/6/13,487
1961/6/14,491
1961/6/15,487
1961/6/16,482
1961/6/19,479
1961/6/20,478
1961/6/21,479
1961/6/22,477
1961/6/23,479
1961/6/26,475
1961/6/27,479
1961/6/28,476
1961/6/29,476
1961/6/30,478
1961/7/3,479
1961/7/5,477
1961/7/6,476
1961/7/7,475
1961/7/10,475
1961/7/11,473
1961/7/12,474
1961/7/13,474
1961/7/14,474
1961/7/17,465
1961/7/18,466
1961/7/19,467
1961/7/20,471
1961/7/21,471
1961/7/24,467
1961/7/25,473
1961/7/26,481
1961/7/27,488
1961/7/28,490
1961/7/31,489
1961/8/1,489
1961/8/2,485
1961/8/3,491
1961/8/4,492
1961/8/7,494
1961/8/8,499
1961/8/9,498
1961/8/10,500
1961/8/11,497
1961/8/14,494
1961/8/15,495
1961/8/16,500
1961/8/17,504
1961/8/18,513
1961/8/21,511
1961/8/22,514
1961/8/23,510
1961/8/24,509
1961/8/25,515
1961/8/28,519
1961/8/29,523
1961/8/30,519
1961/8/31,523
1961/9/1,531
1961/9/5,547
1961/9/6,551
1961/9/7,547
1961/9/8,541
1961/9/11,545
1961/9/12,549
1961/9/13,545
1961/9/14,549
1961/9/15,547
1961/9/18,543
1961/9/19,540
1961/9/20,539
1961/9/21,532
1961/9/22,517
1961/9/25,527
1961/9/26,540
1961/9/27,542
1961/9/28,538
1961/9/29,541
1961/10/2,541
1961/10/3,547
1961/10/4,553
1961/10/5,559
1961/10/6,557
1961/10/10,557
1961/10/11,560
1961/10/12,571
1961/10/13,571
1961/10/16,569
1961/10/17,575
1961/10/18,580
1961/10/19,584
1961/10/20,585
1961/10/23,590
1961/10/24,599
1961/10/25,603
1961/10/26,599
1961/10/27,596
1961/10/30,585
1961/10/31,587
1961/11/1,585
1961/11/2,581
1961/11/3,583
1961/11/6,592
1961/11/7,592
1961/11/8,596
1961/11/9,596
1961/11/13,595
1961/11/14,598
1961/11/15,598
1961/11/16,595
1961/11/17,595
1961/11/20,592
1961/11/21,588
1961/11/22,582
1961/11/24,576
1961/11/27,578
1961/11/28,589
1961/11/29,585
1961/11/30,580
1961/12/1,579
1961/12/4,584
1961/12/5,581
1961/12/6,581
1961/12/7,577
1961/12/8,577
1961/12/11,578
1961/12/12,580
1961/12/13,586
1961/12/14,583
1961/12/15,581
1961/12/18,576
1961/12/19,571
1961/12/20,575
1961/12/21,575
1961/12/22,573
1961/12/26,577
1961/12/27,582
1961/12/28,584
1961/12/29,579
1962/1/2,572
1962/1/3,577
1962/1/4,571
1962/1/5,560
1962/1/8,549
1962/1/9,556
1962/1/10,557
1962/1/11,563
1962/1/12,564
1962/1/15,567
1962/1/16,561
1962/1/17,559
1962/1/18,553
1962/1/19,553
1962/1/22,553
1962/1/23,547
1962/1/24,550
1962/1/25,544
1962/1/26,541
1962/1/29,532
1962/1/30,525
1962/1/31,542
1962/2/1,555
1962/2/2,558
1962/2/5,551
1962/2/6,551
1962/2/7,552
1962/2/8,553
1962/2/9,557
1962/2/12,557
1962/2/13,548
1962/2/14,547
1962/2/15,545
1962/2/16,545
1962/2/19,539
1962/2/20,539
1962/2/21,535
1962/2/23,537
1962/2/26,535
1962/2/27,536
1962/2/28,537
1962/3/1,543
1962/3/2,548
1962/3/5,546
1962/3/6,547
1962/3/7,548
1962/3/8,549
1962/3/9,553
1962/3/12,553
1962/3/13,552
1962/3/14,551
1962/3/15,550
1962/3/16,553
1962/3/19,554
1962/3/20,551
1962/3/21,551
1962/3/22,545
